Country,Year,Goals_scored
France,1930,4
Mexico,1930,4
Belgium,1930,0
United States,1930,7
Brazil,1930,5
Yugoslavia,1930,7
Peru,1930,1
Romania,1930,3
Argentina,1930,18
Chile,1930,5
Bolivia,1930,0
Paraguay,1930,1
Uruguay,1930,15
Argentina,1934,2
Sweden,1934,4
Austria,1934,7
France,1934,2
Belgium,1934,2
Germany,1934,11
Brazil,1934,1
Spain,1934,4
Czechoslovakia,1934,9
Romania,1934,1
Egypt,1934,2
Hungary,1934,5
Italy,1934,12
United States,1934,1
Netherlands,1934,2
Switzerland,1934,5
Germany,1938,3
Switzerland,1938,5
Brazil,1938,14
Poland,1938,5
Cuba,1938,5
Romania,1938,4
Czechoslovakia,1938,5
Netherlands,1938,0
France,1938,4
Belgium,1938,1
Hungary,1938,15
Dutch West Indies,1938,0
Italy,1938,11
Norway,1938,1
Sweden,1938,11
Brazil,1950,22
Mexico,1950,2
Chile,1950,5
England,1950,2
Italy,1950,4
Sweden,1950,11
Spain,1950,10
United States,1950,4
Switzerland,1950,4
Yugoslavia,1950,7
Paraguay,1950,2
Bolivia,1950,0
Uruguay,1950,15
Austria,1954,17
Scotland,1954,0
Brazil,1954,8
Mexico,1954,2
Czechoslovakia,1954,0
Uruguay,1954,16
France,1954,3
Yugoslavia,1954,2
Belgium,1954,5
England,1954,8
Germany,1954,25
Turkey,1954,10
Hungary,1954,27
South Korea,1954,0
Switzerland,1954,11
Italy,1954,6
Argentina,1958,5
Germany,1958,12
Austria,1958,2
Brazil,1958,16
Czechoslovakia,1958,9
Northern Ireland,1958,6
England,1958,4
Soviet Union,1958,5
France,1958,23
Paraguay,1958,9
Hungary,1958,7
Wales,1958,4
Scotland,1958,4
Yugoslavia,1958,7
Sweden,1958,12
Mexico,1958,1
Argentina,1962,2
Bulgaria,1962,1
Brazil,1962,14
Mexico,1962,3
Chile,1962,10
Switzerland,1962,2
Colombia,1962,5
Uruguay,1962,4
Czechoslovakia,1962,7
Spain,1962,2
England,1962,5
Hungary,1962,8
Germany,1962,4
Italy,1962,3
Soviet Union,1962,9
Yugoslavia,1962,10
England,1966,11
Uruguay,1966,2
Brazil,1966,4
Bulgaria,1966,1
Germany,1966,15
Switzerland,1966,1
North Korea,1966,5
Soviet Union,1966,10
Argentina,1966,4
Spain,1966,4
Chile,1966,2
Italy,1966,2
France,1966,2
Mexico,1966,1
Hungary,1966,8
Portugal,1966,17
Mexico,1970,6
Soviet Union,1970,6
Bulgaria,1970,5
Peru,1970,9
England,1970,4
Romania,1970,4
Israel,1970,1
Uruguay,1970,4
Belgium,1970,4
El Salvador,1970,0
Brazil,1970,19
Czechoslovakia,1970,2
Germany,1970,17
Morocco,1970,2
Italy,1970,10
Sweden,1970,2
Brazil,1974,6
Yugoslavia,1974,12
Zaire,1974,0
Scotland,1974,3
Germany,1974,5
Australia,1974,0
Germany,1974,13
Chile,1974,1
Italy,1974,5
Haiti,1974,2
Poland,1974,16
Argentina,1974,9
Sweden,1974,7
Bulgaria,1974,2
Uruguay,1974,1
Netherlands,1974,15
Germany,1978,10
Poland,1978,6
Argentina,1978,15
Hungary,1978,3
France,1978,5
Italy,1978,9
Mexico,1978,2
Tunisia,1978,3
Austria,1978,7
Spain,1978,2
Brazil,1978,10
Sweden,1978,1
Iran,1978,2
Netherlands,1978,15
Peru,1978,7
Scotland,1978,5
Argentina,1982,8
Belgium,1982,3
Brazil,1982,15
Soviet Union,1982,7
Italy,1982,12
Poland,1982,11
Hungary,1982,12
El Salvador,1982,1
Peru,1982,2
Cameroon,1982,1
Scotland,1982,8
New Zealand,1982,2
England,1982,6
France,1982,16
Germany,1982,12
Algeria,1982,5
Spain,1982,4
Honduras,1982,2
Chile,1982,3
Austria,1982,5
Czechoslovakia,1982,2
Kuwait,1982,2
Yugoslavia,1982,2
Northern Ireland,1982,5
Bulgaria,1986,2
Italy,1986,5
Canada,1986,0
France,1986,12
Spain,1986,11
Brazil,1986,10
Argentina,1986,14
South Korea,1986,4
Morocco,1986,3
Poland,1986,1
Soviet Union,1986,12
Hungary,1986,2
Algeria,1986,1
Northern Ireland,1986,2
Mexico,1986,6
Belgium,1986,12
Portugal,1986,2
England,1986,7
Paraguay,1986,4
Iraq,1986,1
Scotland,1986,1
Denmark,1986,10
Uruguay,1986,2
Germany,1986,8
Argentina,1990,5
Cameroon,1990,7
Italy,1990,10
Austria,1990,2
Soviet Union,1990,4
Romania,1990,4
United Arab Emirates,1990,2
Colombia,1990,4
Brazil,1990,4
Sweden,1990,3
Germany,1990,15
Yugoslavia,1990,8
United States,1990,2
Czechoslovakia,1990,10
Costa Rica,1990,4
Scotland,1990,2
England,1990,8
Republic of Ireland,1990,2
Belgium,1990,6
South Korea,1990,1
Netherlands,1990,3
Egypt,1990,1
Uruguay,1990,2
Spain,1990,6
Germany,1994,9
Bolivia,1994,1
Spain,1994,10
South Korea,1994,4
Colombia,1994,4
Romania,1994,10
Italy,1994,8
Republic of Ireland,1994,2
United States,1994,3
Switzerland,1994,5
Belgium,1994,4
Morocco,1994,2
Cameroon,1994,3
Sweden,1994,15
Norway,1994,1
Mexico,1994,4
Brazil,1994,11
Russia,1994,7
Netherlands,1994,8
Saudi Arabia,1994,5
Argentina,1994,8
Greece,1994,0
Nigeria,1994,7
Bulgaria,1994,10
Brazil,1998,14
Scotland,1998,2
Morocco,1998,5
Norway,1998,5
Cameroon,1998,2
Austria,1998,3
Italy,1998,8
Chile,1998,5
France,1998,15
South Africa,1998,3
Paraguay,1998,3
Bulgaria,1998,1
Saudi Arabia,1998,2
Denmark,1998,9
South Korea,1998,2
Mexico,1998,8
Netherlands,1998,13
Belgium,1998,3
Spain,1998,8
Nigeria,1998,6
Argentina,1998,10
Japan,1998,1
Jamaica,1998,3
Croatia,1998,11
FR Yugoslavia,1998,4
Iran,1998,2
England,1998,7
Tunisia,1998,1
Germany,1998,8
United States,1998,1
Romania,1998,4
Colombia,1998,1
Serbia,1998,1
France,2002,0
Senegal,2002,7
Germany,2002,14
Saudi Arabia,2002,0
Republic of Ireland,2002,6
Cameroon,2002,2
Uruguay,2002,4
Denmark,2002,5
Argentina,2002,2
Nigeria,2002,1
England,2002,6
Sweden,2002,5
Paraguay,2002,6
South Africa,2002,5
Spain,2002,10
Slovenia,2002,2
Brazil,2002,18
Turkey,2002,10
Croatia,2002,2
Mexico,2002,4
Italy,2002,5
Ecuador,2002,2
China PR,2002,0
Costa Rica,2002,5
Japan,2002,5
Belgium,2002,6
South Korea,2002,8
Poland,2002,3
Russia,2002,4
Tunisia,2002,1
United States,2002,7
Portugal,2002,6
Germany,2006,14
Costa Rica,2006,3
Poland,2006,2
Ecuador,2006,5
Argentina,2006,11
Ivory Coast,2006,5
England,2006,6
Paraguay,2006,2
Trinidad and Tobago,2006,0
Sweden,2006,3
Angola,2006,1
Portugal,2006,7
Mexico,2006,5
Iran,2006,2
Serbia,2006,2
Netherlands,2006,3
Australia,2006,5
Japan,2006,2
Italy,2006,12
Ghana,2006,4
United States,2006,2
Czech Republic,2006,3
Brazil,2006,10
Croatia,2006,2
France,2006,9
Switzerland,2006,4
South Korea,2006,3
Togo,2006,1
Spain,2006,9
Ukraine,2006,5
Tunisia,2006,3
Saudi Arabia,2006,2
South Africa,2010,3
Mexico,2010,4
Uruguay,2010,11
France,2010,1
Argentina,2010,10
Nigeria,2010,3
England,2010,3
United States,2010,5
South Korea,2010,6
Greece,2010,2
Algeria,2010,0
Slovenia,2010,3
Germany,2010,16
Australia,2010,3
Serbia,2010,2
Ghana,2010,5
Italy,2010,4
Paraguay,2010,3
Japan,2010,4
Cameroon,2010,2
Netherlands,2010,12
Denmark,2010,3
Brazil,2010,9
North Korea,2010,1
Ivory Coast,2010,4
Portugal,2010,7
New Zealand,2010,2
Slovakia,2010,5
Honduras,2010,0
Chile,2010,3
Spain,2010,8
Switzerland,2010,1
Brazil,2014,11
Croatia,2014,6
Chile,2014,6
Australia,2014,3
Mexico,2014,5
Cameroon,2014,1
Spain,2014,4
Netherlands,2014,15
Colombia,2014,12
Greece,2014,3
England,2014,2
Italy,2014,2
Ivory Coast,2014,4
Japan,2014,2
Uruguay,2014,4
Costa Rica,2014,5
Argentina,2014,8
Bosnia and Herzegovina,2014,4
France,2014,10
Honduras,2014,1
Switzerland,2014,7
Ecuador,2014,3
Germany,2014,18
Portugal,2014,4
Ghana,2014,4
United States,2014,5
Iran,2014,1
Nigeria,2014,3
Belgium,2014,6
Algeria,2014,7
Russia,2014,2
South Korea,2014,3
Russia,2018,11
Saudi Arabia,2018,2
Egypt,2018,2
Uruguay,2018,7
Morocco,2018,2
Iran,2018,2
Portugal,2018,6
Spain,2018,7
France,2018,14
Australia,2018,2
Argentina,2018,6
Iceland,2018,2
Peru,2018,2
Denmark,2018,3
Croatia,2018,14
Nigeria,2018,3
Costa Rica,2018,2
Serbia,2018,2
Germany,2018,2
Mexico,2018,3
Brazil,2018,8
Switzerland,2018,5
Sweden,2018,6
South Korea,2018,3
Belgium,2018,16
Panama,2018,2
Tunisia,2018,5
England,2018,12
Colombia,2018,6
Japan,2018,6
Poland,2018,2
Senegal,2018,4
